Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Hardcover Nonfiction                                                                                                                         
39                    Lies I Taught in Medical School: How Conventio...  by Robert Lufkin MD, Jason Fung (Foreword by)   (06/04/2024)  $29.95
40                                            The Housemaid Is Watching                             by Freida McFadden   (06/11/2024)  $16.19
41                                                        The Housemaid                             by Freida McFadden   (08/23/2022)  $12.99
42                    A Court of Thorns and Roses (A Court of Thorns...                               by Sarah J. Maas   (06/02/2020)  $15.99
43                                                   A Novel Love Story                               by Ashley Poston   (06/25/2024)  $19.00
44                                               The Housemaid's Secret                             by Freida McFadden   (07/11/2023)  $12.99
45                                                          Not in Love                               by Ali Hazelwood   (06/11/2024)  $17.10
46                                                  Just for the Summer                                by Abby Jimenez   (04/02/2024)  $17.99
47                    A Court of Mist and Fury (A Court of Thorns an...                               by Sarah J. Maas   (06/02/2020)  $16.99
48                                                      It Ends with Us                              by Colleen Hoover   (08/02/2016)  $12.99
49                                                          Happy Place                                 by Emily Henry   (03/05/2024)  $17.10
50                                        This Summer Will Be Different                              by Carley Fortune   (05/07/2024)  $17.10
51                                     Twisted Love (Twisted Series #1)                                   by Ana Huang   (09/27/2022)  $17.99
52                    A Court of Wings and Ruin (A Court of Thorns a...                               by Sarah J. Maas   (06/02/2020)  $16.99
53                                                           The Inmate                             by Freida McFadden   (03/05/2024)  $16.19
54                                           It Starts with Us: A Novel                              by Colleen Hoover   (10/18/2022)  $17.99
55                                                   The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $23.09
56                                Dune: Book One in the Dune Chronicles                               by Frank Herbert   (05/29/2007)  $36.89
57                                                       First Lie Wins                               by Ashley Elston   (01/02/2024)  $20.25
58                                                           Iron Flame                              by Rebecca Yarros   (11/07/2023)  $31.49
59                                                          Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $26.99
60                                                          The Teacher                             by Freida McFadden   (02/06/2024)  $31.49
61                    A Court of Silver Flames (A Court of Thorns an...                               by Sarah J. Maas   (02/16/2021)  $32.54
62                    The Heaven & Earth Grocery Store (2023 B&N Boo...                               by James McBride   (08/08/2023)  $22.50
63                                               The Three-Body Problem                                   by Cixin Liu   (11/11/2014)  $24.02
64                                          Listen for the Lie: A Novel                                 by Amy Tintera   (03/05/2024)  $24.29
65                                                  The Hunter: A Novel                                 by Tana French   (03/05/2024)  $22.50
66                                          Remarkably Bright Creatures                             by Shelby Van Pelt   (05/03/2022)  $25.19
67                                                 None of This Is True                                 by Lisa Jewell   (08/08/2023)  $22.09
68                                                 I'm Glad My Mom Died                            by Jennette McCurdy   (08/09/2022)  $17.99
69                            Outlive: The Science and Art of Longevity                by Peter Attia MD, Bill Gifford   (03/28/2023)  $22.50
70                          Bad Therapy: Why the Kids Aren't Growing Up                              by Abigail Shrier   (02/27/2024)  $20.00
71                                         Burn Book: A Tech Love Story                                by Kara Swisher   (02/27/2024)  $23.99
72                               The House of Hidden Meanings: A Memoir                                      by RuPaul   (03/05/2024)  $21.99
73                    The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (02/16/2021)  $23.00
74                                                          Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
75                    The Anxious Generation: How the Great Rewiring...                              by Jonathan Haidt   (03/26/2024)  $20.25
76                                Sapiens: A Brief History of Humankind                           by Yuval Noah Harari   (08/15/2017)  $31.99
77                                                            Elon Musk                             by Walter Isaacson   (09/12/2023)  $31.49
78                                                      The Woman in Me                              by Britney Spears   (10/24/2023)  $22.49
79                    Extreme Ownership: How U.S. Navy SEALs Lead an...                   by Jocko Willink, Leif Babin   (10/20/2015)  $18.39
80                                                          Greenlights                         by Matthew McConaughey   (10/20/2020)  $19.00
81                                                                Spare            by Prince Harry, The Duke of Sussex   (01/10/2023)  $29.88
82                    Blood Money: Why the Powerful Turn a Blind Eye...                             by Peter Schweizer   (02/27/2024)  $22.49Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                               Title                                         Author       Pub-Date   Price
Hardcover Fiction                                                                                                                         
0                                                 The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $21.00
1                                                          Swan Song                            by Elin Hilderbrand   (06/11/2024)  $21.00
2                                         All the Colors of the Dark                              by Chris Whitaker   (06/25/2024)  $30.00
3                                                           Eruption           by Michael Crichton, James Patterson   (06/03/2024)  $22.40
4                                              Resurrection: A Novel                              by Danielle Steel   (06/25/2024)  $20.30
5                                             Camino Ghosts: A Novel                                by John Grisham   (05/28/2024)  $20.96
6                                        You Like It Darker: Stories                                by Stephen King   (05/21/2024)  $21.00
7                                                        Funny Story                                 by Emily Henry   (04/23/2024)  $24.65
8                                        The Midnight Feast: A Novel                                  by Lucy Foley   (06/18/2024)  $30.00
9                                                        Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $29.99
10                                                        Iron Flame                              by Rebecca Yarros   (11/07/2023)  $29.99
11                                      Middle of the Night: A Novel                                 by Riley Sager   (06/18/2024)  $30.00
12                        Red Sky Mourning (Terminal List Series #7)                                   by Jack Carr   (06/18/2024)  $20.99
13                                                 Sandwich: A Novel                            by Catherine Newman   (06/18/2024)  $26.99
14                                                    James: A Novel                            by Percival Everett   (03/19/2024)  $25.20
15                 Democracy or Else: How to Save America in 10 E...       by Jon Favreau, Jon Lovett, Tommy Vietor   (06/25/2024)  $25.20
16                 Atomic Habits: An Easy & Proven Way to Build G...                                 by James Clear   (10/16/2018)  $22.99
17                                 World Travel: An Irreverent Guide           by Anthony Bourdain, Laurie Woolever   (05/28/2024)  $22.00
18                 The New Menopause: Navigating Your Path Throug...                        by Mary Claire Haver MD   (04/30/2024)  $25.20
19                 Good Energy: The Surprising Connection Between...       by Casey Means MD, Calley Means (Editor)   (05/14/2024)  $28.80
20                                  The Creative Act: A Way of Being                                  by Rick Rubin   (01/17/2023)  $32.00
21                 Practicing the Way: Be with Jesus. Become like...                             by John Mark Comer   (01/16/2024)  $23.40
22                 Make Your Bed: Little Things That Can Change Y...                          by William H. McRaven   (04/04/2017)  $15.99
23                              The Official Stardew Valley Cookbook                    by ConcernedApe, Ryan Novak   (05/14/2024)  $25.20
24                 Lies I Taught in Medical School: How Conventio...  by Robert Lufkin MD, Jason Fung (Foreword by)   (06/04/2024)  $29.95
25                                         The Housemaid Is Watching                             by Freida McFadden   (06/11/2024)  $16.19
26                                                     The Housemaid                             by Freida McFadden   (08/23/2022)  $12.99
27                 A Court of Thorns and Roses (A Court of Thorns...                               by Sarah J. Maas   (06/02/2020)  $15.99
28                                                A Novel Love Story                               by Ashley Poston   (06/25/2024)  $19.00
29                                            The Housemaid's Secret                             by Freida McFadden   (07/11/2023)  $12.99
30                                                       Not in Love                               by Ali Hazelwood   (06/11/2024)  $17.10
31                                               Just for the Summer                                by Abby Jimenez   (04/02/2024)  $17.99
32                 A Court of Mist and Fury (A Court of Thorns an...                               by Sarah J. Maas   (06/02/2020)  $16.99
33                                                   It Ends with Us                              by Colleen Hoover   (08/02/2016)  $12.99
34                                                       Happy Place                                 by Emily Henry   (03/05/2024)  $17.10
35                                     This Summer Will Be Different                              by Carley Fortune   (05/07/2024)  $17.10
36                                  Twisted Love (Twisted Series #1)                                   by Ana Huang   (09/27/2022)  $17.99
37                 A Court of Wings and Ruin (A Court of Thorns a...                               by Sarah J. Maas   (06/02/2020)  $16.99
38                                                        The Inmate                             by Freida McFadden   (03/05/2024)  $16.19
39                                        It Starts with Us: A Novel                              by Colleen Hoover   (10/18/2022)  $17.99
40                                                The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $23.09
41                             Dune: Book One in the Dune Chronicles                               by Frank Herbert   (05/29/2007)  $36.89
42                                                    First Lie Wins                               by Ashley Elston   (01/02/2024)  $20.25
43                                                        Iron Flame                              by Rebecca Yarros   (11/07/2023)  $31.49
44                                                       Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $26.99
45                                                       The Teacher                             by Freida McFadden   (02/06/2024)  $31.49
46                 A Court of Silver Flames (A Court of Thorns an...                               by Sarah J. Maas   (02/16/2021)  $32.54
